Temperature,G6,G7,G8,G9,G10,G11,G12,G13,G14,H6,H7,H8,H9,H10,H11,H12,H13,H14,I6,I7,I8,I9,I10,I11,I12,I13,I14,J6,J7,J8,J9,J10,J11,J12,J13,J14
65,3495.918232,3469.745021,3435.604961,3463.70198,3400.252381,3458.331309,3514.071038,3421.833888,3546.903956,3413.085111,3451.289354,3470.720578,3448.329709,3445.80242,3420.724942,3505.954958,3465.136234,3599.324104,3525.184897,3448.363287,3446.967082,3513.868207,3479.451532,3511.029696,3471.318921,3590.957032,3559.113572,3463.32623,3409.412499,3378.515025,3473.516257,3484.997202,3511.818213,3461.627478,3520.188946,3502.627296
65.2,3507.963312,3479.80903,3447.122239,3475.578788,3410.914915,3471.512792,3526.308975,3434.851894,3558.115561,3424.237297,3465.40829,3484.015993,3461.378792,3459.495642,3436.483185,3520.572868,3476.799535,3611.132907,3536.829369,3461.810012,3459.103959,3526.17191,3491.435811,3524.692702,3483.794632,3605.480995,3572.956451,3477.049345,3423.965045,3391.467717,3487.054876,3500.306541,3525.196239,3474.35202,3535.226758,3518.879435
65.4,3520.008391,3489.873039,3458.639517,3487.455597,3421.57745,3484.694275,3538.546912,3447.8699,3569.327167,3435.389483,3479.527227,3497.311408,3474.427874,3473.188863,3452.241428,3535.190778,3488.462837,3622.941709,3548.473841,3475.256738,3471.240837,3538.475614,3503.42009,3538.355708,3496.270344,3620.004958,3586.79933,3490.77246,3438.517591,3404.420409,3500.593495,3515.61588,3538.574264,3487.076562,3550.26457,3535.131574
65.6,3532.053471,3499.937048,3470.156795,3499.332406,3432.239984,3497.875758,3550.784849,3460.887905,3580.538772,3446.541669,3493.646164,3510.606822,3487.476956,3486.882085,3467.999672,3549.808688,3500.126138,3634.750512,3560.118313,3488.703463,3483.377714,3550.779317,3515.404369,3552.018713,3508.746055,3634.528921,3600.642209,3504.495575,3453.070138,3417.373101,3514.132114,3530.925218,3551.952289,3499.801103,3565.302381,3551.383713
65.8,3544.09855,3510.001057,3481.674073,3511.209214,3442.902519,3511.057241,3563.022786,3473.905911,3591.750378,3457.693855,3507.765101,3523.902237,3500.526038,3500.575306,3483.757915,3564.426598,3511.78944,3646.559314,3571.762785,3502.150189,3495.514591,3563.08302,3527.388648,3565.681719,3521.221767,3649.052884,3614.485088,3518.218689,3467.622684,3430.325793,3527.670733,3546.234557,3565.330315,3512.525645,3580.340193,3567.635851
66,3556.14363,3520.065066,3493.191352,3523.086023,3453.565054,3524.238723,3575.260724,3486.923917,3602.961983,3468.846041,3521.884038,3537.197652,3513.57512,3514.268528,3499.516158,3579.044508,3523.452741,3658.368117,3583.407257,3515.596914,3507.651468,3575.386724,3539.372927,3579.344724,3533.697478,3663.576847,3628.327967,3531.941804,3482.17523,3443.278484,3541.209352,3561.543895,3578.70834,3525.250187,3595.378005,3583.88799
66.2,3568.188709,3530.129076,3504.70863,3534.962831,3464.227588,3537.420206,3587.498661,3499.941923,3614.173589,3479.998227,3536.002975,3550.493067,3526.624202,3527.961749,3515.274402,3593.662418,3535.116043,3670.176919,3595.051729,3529.04364,3519.788345,3587.690427,3551.357206,3593.00773,3546.173189,3678.10081,3642.170846,3545.664919,3496.727777,3456.231176,3554.74797,3576.853234,3592.086365,3537.974729,3610.415817,3600.140129
66.4,3579.82821,3539.850234,3515.627068,3546.40872,3474.239787,3550.563238,3599.474074,3512.707405,3624.633422,3490.67161,3549.427435,3563.340847,3539.202942,3541.406593,3530.477414,3607.397651,3546.601288,3679.751232,3606.360103,3541.888789,3531.973664,3600.005417,3562.847875,3606.230927,3557.817149,3692.090442,3655.366839,3559.298845,3510.828481,3468.964084,3567.840138,3591.784168,3604.459528,3550.201109,3625.147901,3615.752669
66.6,3591.176311,3549.456653,3525.858313,3557.789374,3483.520443,3563.369698,3611.620863,3525.359319,3634.435781,3500.845588,3562.195416,3575.922176,3551.217327,3554.776786,3545.378441,3620.207381,3558.085038,3687.179762,3617.426473,3554.222265,3544.236487,3612.240253,3574.061197,3619.047702,3569.182259,3705.723949,3667.942262,3572.838227,3524.432917,3481.308646,3580.769366,3606.427416,3616.064453,3562.070641,3639.394957,3630.769309
66.8,3602.074667,3558.899696,3535.207309,3569.033207,3492.29478,3576.1551,3623.709108,3537.814361,3643.641275,3510.547039,3574.428179,3587.803871,3562.857897,3567.781665,3559.908793,3631.691219,3569.522667,3692.517775,3628.168544,3566.195191,3556.328818,3624.208191,3584.740988,3631.23783,3580.148583,3718.553053,3679.819169,3586.2778,3537.393114,3493.274185,3593.271326,3620.388808,3626.664745,3573.551318,3653.049931,3644.798063
