	temp	A1	B1	C1	D1	E1	F1	G1	H1
	65	3232,55051705972	3289,42670406588	3593,01906060062	3604,26785463806	2347,7888430377	2376,18708316362	2392,78261058913	2374,19614109424
	65,2	3231,57912960708	3288,38713831189	3593,29980841056	3602,96006132964	2347,87136167756	2376,49169927712	2392,88433620023	2374,26003936815
	65,4	3230,60774215444	3287,34757255789	3593,5805562205	3601,65226802123	2347,95388031742	2376,79631539063	2392,98606181133	2374,32393764206
	65,6	3229,63635470179	3286,3080068039	3593,86130403045	3600,34447471281	2348,03639895728	2377,10093150413	2393,08778742242	2374,38783591597
	65,8	3228,66496724915	3285,2684410499	3594,14205184039	3599,0366814044	2348,11891759713	2377,40554761764	2393,18951303352	2374,45173418988
	66	3227,69357979643	3284,22887529588	3594,42279965032	3597,72888809608	2348,20143623705	2377,71016373116	2393,29123864463	2374,51563246377
	66,2	3226,72219234379	3283,18930954188	3594,70354746026	3596,42109478766	2348,28395487691	2378,01477984466	2393,39296425573	2374,57953073768
	66,4	3225,80917069993	3282,06776315445	3594,6189534173	3594,66649731129	2348,2750421071	2378,17971468201	2393,39231453263	2374,75331378836
	66,6	3225,3332223441	3280,95773818519	3593,88711375119	3592,76653314784	2348,23908953294	2378,34435584463	2393,60991345278	2375,17630488463
	66,8	3224,35808133682	3279,85595738832	3592,49959708748	3590,33271692882	2348,31199780094	2378,39951839206	2393,74090356944	2375,49644008275
	67	3222,91813595946	3278,25539427278	3590,44205729318	3587,75709052601	2348,40372508917	2378,40919364438	2393,69713247975	2375,90972676441
	67,2	3220,97565033993	3276,33020350189	3587,40613740064	3584,92001986562	2348,37364733957	2378,55156845592	2393,81951211172	2376,34550508134
	67,4	3218,58236237967	3273,90854243698	3583,78403523632	3581,94064473497	2348,5596721239	2378,75757374618	2394,14764961529	2376,76831105017
	67,6	3215,49141915875	3271,39331505996	3579,71196225053	3578,4037362073	2348,90390784997	2378,93216635883	2394,24733766545	2377,08949833951
