;Температура;A1;B1;C1;D1;E1;F1;G1;H1
;65;2,42846863160793;2,59891438498471;-0,701869524860115;3,26948327103622;-0,206296599649818;-0,761540283762656;-0,254314027744726;-0,159745684779296
;65,2;5,26168203515084;5,63098116747142;-1,52071730386325;7,08388042057749;-0,446975965906944;-1,65000394815308;-0,551013726779104;-0,346115650354477
;65,4;4,85693726321614;5,19782876997368;-1,40373904971995;6,53896654206903;-0,412593199297504;-1,52308056752588;-0,508628055487321;-0,319491369558023
;65,6;4,85693726318374;5,19782876995606;-1,40373904972847;6,53896654211309;-0,412593199275619;-1,52308056752148;-0,508628055484337;-0,319491369567402
;65,8;4,85693726344294;5,19782877006264;-1,40373904965799;6,538966541805;-0,41259319946235;-1,52308056756468;-0,508628055517022;-0,319491369486116
;66;4,88125635043787;5,16367017279833;-1,55596482170012;6,35279813848769;-0,45068962015975;-1,58128109929933;-0,551284444763098;-0,27370604583453
;66,2;4,8931366112285;5,40758094446204;-0,760070093788556;7,59540750903824;-0,195281260235873;-1,17399974158744;-0,161752785311791;-0,49036662581571
;66,4;3,24010897410233;5,61652206084176;1,92011129570432;9,1001341463965;0,195618464843932;-0,811355557850248;-0,535803604857819;-1,58057731525687
;66,6;3,25194105024281;5,31688785829004;5,28890019644365;10,8359328325534;-0,0732813910236985;-0,568339950310417;-1,03522669602299;-1,92283930351465
;66,8;6,03632113213479;6,61716318612179;8,47818151977691;12,6371098037353;-0,507699673897264;-0,0611869266960241;-0,112731098598573;-1,78132656052355
;67;8,46191167112352;8,81534805968414;12,7685829082918;13,531536705319;-0,0719223825410609;-0,334659420546188;-0,0379717398888602;-2,16688075964811
;67,2;10,7581360251044;10,9634051491784;16,8652256741251;14,4177440028241;-0,273194262000374;-0,93933035318571;-1,29070957847233;-2,19817334555131
;67,4;13,8947053095228;12,4635136582398;19,3683277165658;16,2165304766307;-1,41425217291172;-0,88909911565807;-1,07577926189009;-1,8303030432584
;67,6;15,7795511557237;13,1705982459778;21,1774828789564;18,3583686177607;-1,73758087638603;-1,36636670836552;-0,717955785478779;-1,73043149346512
;67,8;15,3206749411046;13,3017804792181;21,9531264680555;21,4062993900669;-2,01376733000984;-2,25289485240978;-2,50172052147903;-1,81512251746682
;68;15,967912434995;13,7970142883236;22,6618861263623;24,6971612316665;-2,94045554951182;-1,9267768164201;-3,66255002305664;-1,45233665944261
;68,2;17,0307045122092;14,9850702174925;23,3869940685318;27,3439353824256;-3,51886875708729;-1,46720160457178;-3,00136984793497;-1,64744336603079
;68,4;17,3246503855032;16,9531279211446;24,8785076887646;29,7418019311618;-2,98716593766017;-0,952503334909522;-2,85233981330904;-1,93294269224424
;68,6;17,1477969799312;19,4955021690762;26,2852648233837;31,1059491278709;-2,40544138274629;-0,021567912110072;-3,15724253943742;-2,07044943046554
;68,8;18,0568018171007;21,995495160578;27,7077430973904;31,5939833131353;-1,81576200967712;0,115612460410119;-2,08861229394742;-2,09939221776153
;69;19,1975444098981;23,8236120982896;28,9534476711489;31,4306939465567;-1,12088716122642;-0,488085996890959;-0,910687652035307;-2,41775481786547
;69,2;18,7802811084961;24,2051083757158;30,1221487895515;31,4365122279668;-0,607568671747032;-0,545852759136949;-1,01582889265885;-2,71361963959379
;69,4;18,4252337484745;23,9213161716327;30,6639509899554;31,5984140272133;-0,885828507205844;-1,27827468312574;-0,665183575348607;-2,62783227152184
;69,6;18,9253463803604;23,6396332340826;30,695998904921;31,3667213183885;-1,50789900051464;-2,49073228673424;0,271342848008373;-2,54012468313874
;69,8;19,0017748639028;23,4078230161504;30,7883244938347;30,8183213054204;-2,13977163511629;-1,95823272282965;0,326612768969454;-2,08474267764544
;70;18,0854015372302;22,5386091524365;30,9323479086825;31,0481898301609;-2,85026278100247;-1,38226741029158;-0,177490179979998;-1,39657701095899
;70,2;18,6796000092991;22,9874043156488;31,7204265691205;32,3821103662053;-3,40546804319004;-2,05438503047901;-0,685331743784161;-0,88731490885948
;70,4;20,1066337748497;24,3711260657892;31,4323044292649;34,1796146694867;-3,33504515671464;-2,5843011564082;-2,07076468399549;-0,659082552822525
;70,6;20,1557740343549;25,1449344730341;31,0733530460257;35,5821616687038;-2,5439427873799;-2,08165594059338;-3,16224179368206;-0,646215777631483
;70,8;19,840410905235;25,6116294701059;32,2535423875331;36,6231885040571;-2,12767352300503;-2,84023578743643;-2,44256718531602;-1,09540763294561
